"Population and dwelling counts: Canada and census subdivisions (municipalities) 1"
"Frequency: Occasional"
"Table: 98-10-0002-01"
"Release date: 2022-02-09"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: All persons, 2021 and 2016 censuses – 100% data"
"Variable List: Population and dwelling counts (13)"

,,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Geographic name","Geographic area type abbreviation","Province or territory abbreviation"
"Milltown-Head of Bay d'Espoir","T","N.L.","669","749","-10.7","358","381","-6.0","320","341","-6.2","24.95","26.8","2,590","114"
"Morrisville","T","N.L.","93","101","-7.9","46","50","-8.0","43","43","0.0","14.09","6.6","4,292","329"
"Pool's Cove","T","N.L.","143","193","-25.9","75","96","-21.9","62","77","-19.5","2.65","54.1","4,087","298"
"Ramea","T","N.L.","388","447","-13.2","207","277","-25.3","206","216","-4.6","1.86","208.9","3,213","187"
"Rencontre East","T","N.L.","115","139","-17.3","75","77","-2.6","46","50","-8.0","2.56","44.9","4,198","312"
"Rose Blanche-Harbour le Cou","T","N.L.","344","394","-12.7","255","266","-4.1","172","197","-12.7","4.49","76.7","3,365","205"
"Samiajij Miawpukek","IRI","N.L.","953","956","-0.3","358","342","4.7","353","331","6.6","16.70","57.1","2,174","81"
"Seal Cove (Fortune Bay)","T","N.L.","100","242","-58.7","66","134","-50.7","49","105","-53.3","2.03","49.3","4,252","320"
"St. Alban's","T","N.L.","1,189","1,186","0.3","650","604","7.6","560","532","5.3","20.48","58.0","1,909","69"
"St. Jacques-Coomb's Cove","T","N.L.","546","588","-7.1","287","310","-7.4","242","247","-2.0","81.89","6.7","2,826","143"
"Cape St. George","T","N.L.","809","853","-5.2","433","410","5.6","380","375","1.3","34.47","23.5","2,354","95"
"Division No.  4, Subd. A 3","SNO","N.L.","1,530","1,743","-12.2","1,041","1,407","-26.0","750","809","-7.3","1,204.46","1.3","1,646","57"
"Division No.  4, Subd. B","SNO","N.L.","1,140","1,174","-2.9","634","948","-33.1","556","580","-4.1","1,809.34","0.6","1,959","74"
"Division No.  4, Subd. C","SNO","N.L.","591","747","-20.9","453","490","-7.6","302","345","-12.5","2,365.45","0.2","2,730","128"
"Division No.  4, Subd. D","SNO","N.L.","1,212","860","40.9","990","646","53.3","597","382","56.3","1,148.81","1.1","1,881","67"
"Division No.  4, Subd. E","SNO","N.L.","1,467","1,957","-25.0","864","1,027","-15.9","709","906","-21.7","295.42","5.0","1,687","59"
"Gallants","T","N.L.","50","50","0.0","128","72","77.8","33","31","6.5","6.33","7.9","4,507","352"
"Kippens","T","N.L.","1,842","2,008","-8.3","799","832","-4.0","760","800","-5.0","14.24","129.4","1,449","44"
"Lourdes","T","N.L.","502","465","8.0","264","234","12.8","227","215","5.6","7.39","68.0","2,938","158"
"Port au Port East","T","N.L.","413","579","-28.7","220","286","-23.1","198","267","-25.8","25.06","16.5","3,136","177"
"Port au Port West-Aguathuna-Felix Cove","T","N.L.","384","449","-14.5","225","222","1.4","202","212","-4.7","16.97","22.6","3,226","189"
"St. George's","T","N.L.","1,139","1,203","-5.3","611","597","2.3","543","541","0.4","25.71","44.3","1,962","75"
"Stephenville","T","N.L.","6,540","6,623","-1.3","3,412","3,366","1.4","3,188","3,129","1.9","35.27","185.4","611","13"
"Stephenville Crossing","T","N.L.","1,634","1,719","-4.9","826","833","-0.8","751","774","-3.0","31.07","52.6","1,578","53"
"Cormack","T","N.L.","492","597","-17.6","230","288","-20.1","206","248","-16.9","133.65","3.7","2,957","162"
"Corner Brook","CY","N.L.","19,333","19,806","-2.4","9,552","9,395","1.7","8,868","8,764","1.2","147.88","130.7","237","5"
"Cox's Cove","T","N.L.","664","688","-3.5","335","338","-0.9","302","294","2.7","7.23","91.8","2,597","115"
"Deer Lake","T","N.L.","4,864","5,249","-7.3","2,309","2,300","0.4","2,139","2,164","-1.2","73.26","66.4","752","16"
"Division No.  5, Subd. A","SNO","N.L.","291","276","5.4","351","407","-13.8","140","115","21.7","2,412.93","0.1","3,539","225"
