"Population and dwelling counts: Canada and census subdivisions (municipalities) 1"
"Frequency: Occasional"
"Table: 98-10-0002-01"
"Release date: 2022-02-09"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: All persons, 2021 and 2016 censuses – 100% data"
"Variable List: Population and dwelling counts (13)"

,,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Geographic name","Geographic area type abbreviation","Province or territory abbreviation"
"Roxton Pond","MÉ","Que.","4,224","3,809","10.9","1,840","1,701","8.2","1,743","1,576","10.6","97.64","43.3","829","208"
"Saint-Alphonse-de-Granby","MÉ","Que.","3,341","3,094","8.0","1,289","1,160","11.1","1,261","1,142","10.4","50.12","66.7","962","249"
"Saint-Joachim-de-Shefford","MÉ","Que.","1,476","1,301","13.5","609","582","4.6","571","496","15.1","126.91","11.6","1,678","510"
"Sainte-Cécile-de-Milton","MÉ","Que.","2,195","2,160","1.6","864","849","1.8","832","813","2.3","72.96","30.1","1,303","377"
"Shefford","CT","Que.","7,253","6,947","4.4","3,095","2,903","6.6","2,909","2,723","6.8","117.99","61.5","568","140"
"Warden","VL","Que.","362","363","-0.3","163","165","-1.2","155","155","0.0","5.46","66.3","3,311","1,021"
"Waterloo","V","Que.","4,920","4,410","11.6","2,404","2,124","13.2","2,242","1,973","13.6","12.23","402.2","747","190"
"Fossambault-sur-le-Lac","V","Que.","2,327","1,960","18.7","1,282","1,283","-0.1","994","852","16.7","11.49","202.6","1,253","356"
"Lac-Beauport","MÉ","Que.","8,164","7,801","4.7","3,201","3,031","5.6","3,070","2,845","7.9","61.73","132.2","506","128"
"Lac-Croche","NO","Que.","0","0","...","0","0","...","0","0","...","1,679.99","0.0","4,831","1,194"
"Lac-Delage","V","Que.","771","638","20.8","316","254","24.4","308","242","27.3","1.58","486.9","2,408","771"
"Lac-Saint-Joseph","V","Que.","304","260","16.9","334","358","-6.7","167","127","31.5","33.65","9.0","3,497","1,055"
"Saint-Gabriel-de-Valcartier","MÉ","Que.","3,223","3,382","-4.7","1,136","1,204","-5.6","1,067","1,124","-5.1","432.62","7.5","993","259"
"Sainte-Brigitte-de-Laval","V","Que.","8,468","7,348","15.2","3,343","3,007","11.2","3,203","2,816","13.7","108.42","78.1","487","123"
"Sainte-Catherine-de-la-Jacques-Cartier","V","Que.","8,442","7,706","9.6","3,407","3,063","11.2","3,298","2,965","11.2","120.70","69.9","488","124"
"Shannon","V","Que.","6,432","6,031","6.6","2,437","2,277","7.0","2,332","2,109","10.6","63.54","101.2","618","152"
"Stoneham-et-Tewkesbury","CU","Que.","9,682","8,359","15.8","4,421","3,924","12.7","3,862","3,252","18.8","670.03","14.5","440","112"
"Baie-des-Sables","MÉ","Que.","613","628","-2.4","336","328","2.4","281","266","5.6","65.07","9.4","2,690","857"
"Grosses-Roches 3","MÉ","Que.","375","394","-4.8","261","280","-6.8","206","209","-1.4","63.59","5.9","3,260","1,013"
"Les Méchins","MÉ","Que.","995","987","0.8","671","753","-10.9","519","508","2.2","441.39","2.3","2,114","662"
"Matane","V","Que.","13,987","14,311","-2.3","7,482","7,421","0.8","6,996","6,866","1.9","195.49","71.5","309","82"
"Rivière-Bonjour 7","NO","Que.","16","0","...","67","144","-53.5","8","0","...","1,682.50","0.0","4,686","1,177"
"Saint-Adelme 3","PE","Que.","484","520","-6.9","291","323","-9.9","223","222","0.5","100.58","4.8","2,981","936"
"Saint-Jean-de-Cherbourg 3","PE","Que.","163","165","-1.2","93","130","-28.5","73","73","0.0","113.96","1.4","3,997","1,133"
"Saint-Léandre","PE","Que.","375","400","-6.3","222","209","6.2","188","189","-0.5","104.72","3.6","3,260","1,013"
"Saint-René-de-Matane 3","MÉ","Que.","961","991","-3.0","596","659","-9.6","478","468","2.1","253.89","3.8","2,160","673"
"Saint-Ulric","MÉ","Que.","1,567","1,585","-1.1","912","878","3.9","781","755","3.4","120.45","13.0","1,623","492"
"Sainte-Félicité 3","MÉ","Que.","1,100","1,087","1.2","580","614","-5.5","505","507","-0.4","90.73","12.1","1,998","618"
"Sainte-Paule","MÉ","Que.","247","233","6.0","217","209","3.8","129","115","12.2","83.36","3.0","3,691","1,091"
"Albertville","MÉ","Que.","239","226","5.8","163","126","29.4","122","113","8.0","103.13","2.3","3,722","1,097"
"Amqui","V","Que.","5,999","6,178","-2.9","3,015","2,992","0.8","2,846","2,862","-0.6","121.02","49.6","649","164"
"Causapscal","V","Que.","2,147","2,304","-6.8","1,140","1,162","-1.9","1,061","1,062","-0.1","161.61","13.3","1,321","383"
"Lac-Alfred","NO","Que.","0","0","...","0","0","...","0","0","...","77.53","0.0","4,831","1,194"
"Lac-Casault 7","NO","Que.","30","0","...","142","113","25.7","24","1","2,300.0","1,428.21","0.0","4,592","1,169"
"Lac-Matapédia 3","NO","Que.","10","5","100.0","18","16","12.5","8","3","166.7","71.01","0.1","4,722","1,179"
"Lac-au-Saumon","MÉ","Que.","1,488","1,450","2.6","646","598","8.0","607","561","8.2","81.05","18.4","1,672","507"
"Rivière-Patapédia-Est","NO","Que.","0","0","...","0","0","...","0","0","...","15.85","0.0","4,831","1,194"
"Rivière-Vaseuse","NO","Que.","0","0","...","0","0","...","0","0","...","275.30","0.0","4,831","1,194"
"Routhierville","NO","Que.","20","18","11.1","15","16","-6.3","11","11","0.0","626.26","0.0","4,658","1,176"
"Ruisseau-des-Mineurs 5","NO","Que.","5","0","...","27","37","-27.0","4","0","...","935.95","0.0","4,760","1,187"
"Saint-Alexandre-des-Lacs 3","PE","Que.","298","268","11.2","143","142","0.7","129","125","3.2","89.82","3.3","3,515","1,060"
"Saint-Cléophas","PE","Que.","321","333","-3.6","159","156","1.9","145","143","1.4","97.22","3.3","3,440","1,045"
"Saint-Damase 3","PE","Que.","382","356","7.3","178","170","4.7","165","152","8.6","116.42","3.3","3,237","1,007"
"Saint-Léon-le-Grand","PE","Que.","968","953","1.6","447","440","1.6","420","420","0.0","128.26","7.5","2,147","670"
"Saint-Moïse","PE","Que.","542","580","-6.6","324","292","11.0","265","266","-0.4","109.80","4.9","2,837","894"
"Saint-Noël","VL","Que.","392","398","-1.5","210","212","-0.9","182","187","-2.7","45.80","8.6","3,204","997"
"Saint-Tharcisius 3","PE","Que.","411","421","-2.4","199","202","-1.5","185","187","-1.1","78.84","5.2","3,145","984"
"Saint-Vianney","MÉ","Que.","446","441","1.1","245","239","2.5","212","204","3.9","145.60","3.1","3,056","960"
"Saint-Zénon-du-Lac-Humqui","PE","Que.","370","359","3.1","283","284","-0.4","194","168","15.5","113.09","3.3","3,283","1,017"
"Sainte-Florence","MÉ","Que.","367","384","-4.4","207","209","-1.0","187","191","-2.1","103.48","3.5","3,292","1,019"
"Sainte-Irène","PE","Que.","369","327","12.8","246","259","-5.0","174","160","8.8","135.09","2.7","3,287","1,018"
"Sainte-Marguerite-Marie","MÉ","Que.","183","166","10.2","91","91","0.0","86","84","2.4","85.97","2.1","3,917","1,123"
"Sayabec 3","MÉ","Que.","1,706","1,831","-6.8","872","889","-1.9","812","823","-1.3","130.31","13.1","1,538","465"
"Val-Brillant","MÉ","Que.","899","927","-3.0","504","497","1.4","419","416","0.7","77.90","11.5","2,243","706"
"Grand-Métis 3","MÉ","Que.","218","213","2.3","206","202","2.0","122","116","5.2","25.12","8.7","3,799","1,108"
"La Rédemption","PE","Que.","384","432","-11.1","227","251","-9.6","174","192","-9.4","116.63","3.3","3,226","1,003"
"Lac-des-Eaux-Mortes","NO","Que.","47","0","...","202","184","9.8","25","1","2,400.0","923.26","0.1","4,525","1,165"
"Lac-à-la-Croix","NO","Que.","0","0","...","0","0","...","0","0","...","223.35","0.0","4,831","1,194"
"Les Hauteurs","MÉ","Que.","485","504","-3.8","263","263","0.0","217","211","2.8","102.92","4.7","2,979","935"
"Mont-Joli","V","Que.","6,384","6,281","1.6","3,173","3,102","2.3","3,034","2,917","4.0","24.24","263.3","621","154"
"Métis-sur-Mer 3","V","Que.","594","572","3.8","505","460","9.8","310","274","13.1","48.22","12.3","2,726","864"
"Padoue","MÉ","Que.","250","245","2.0","123","120","2.5","111","109","1.8","66.66","3.8","3,684","1,090"
"Price","VL","Que.","1,729","1,759","-1.7","794","788","0.8","760","774","-1.8","2.51","688.8","1,527","459"
"Saint-Charles-Garnier","PE","Que.","222","240","-7.5","151","146","3.4","110","113","-2.7","84.79","2.6","3,779","1,105"
"Saint-Donat","PE","Que.","835","876","-4.7","478","499","-4.2","400","395","1.3","95.80","8.7","2,326","740"
"Saint-Gabriel-de-Rimouski","MÉ","Que.","1,177","1,167","0.9","581","587","-1.0","524","497","5.4","126.98","9.3","1,924","590"
"Saint-Joseph-de-Lepage","PE","Que.","590","523","12.8","260","258","0.8","223","218","2.3","30.98","19.0","2,732","866"
"Saint-Octave-de-Métis","PE","Que.","493","511","-3.5","221","222","-0.5","207","205","1.0","75.16","6.6","2,954","926"
"Sainte-Angèle-de-Mérici","MÉ","Que.","989","953","3.8","519","507","2.4","455","426","6.8","107.78","9.2","2,121","665"
"Sainte-Flavie","PE","Que.","904","884","2.3","531","497","6.8","418","407","2.7","38.23","23.6","2,240","705"
"Sainte-Jeanne-d'Arc","PE","Que.","217","280","-22.5","146","169","-13.6","110","131","-16.0","110.34","2.0","3,803","1,109"
"Sainte-Luce","MÉ","Que.","2,845","2,801","1.6","1,462","1,437","1.7","1,292","1,237","4.4","72.59","39.2","1,087","292"
"Frampton 3","MÉ","Que.","1,309","1,297","0.9","655","644","1.7","591","540","9.4","151.27","8.7","1,810","561"
"Saint-Bernard","MÉ","Que.","2,535","2,321","9.2","1,048","974","7.6","978","887","10.3","90.10","28.1","1,180","331"
"Saint-Elzéar","MÉ","Que.","2,623","2,400","9.3","1,031","949","8.6","1,001","907","10.4","87.07","30.1","1,150","319"
"Saint-Isidore","MÉ","Que.","3,286","2,880","14.1","1,406","1,220","15.2","1,337","1,149","16.4","102.61","32.0","978","254"
"Saint-Lambert-de-Lauzon","MÉ","Que.","6,817","6,647","2.6","2,752","2,626","4.8","2,671","2,544","5.0","106.76","63.9","594","148"
"Sainte-Hénédine","PE","Que.","1,440","1,271","13.3","564","483","16.8","544","472","15.3","51.53","27.9","1,705","517"
"Sainte-Marguerite","PE","Que.","1,175","1,078","9.0","531","451","17.7","491","440","11.6","83.05","14.1","1,927","591"
"Sainte-Marie","V","Que.","13,134","13,565","-3.2","5,630","5,857","-3.9","5,500","5,651","-2.7","107.55","122.1","333","89"
"Saints-Anges","PE","Que.","1,239","1,157","7.1","522","485","7.6","487","444","9.7","68.65","18.0","1,858","571"
"Scott","MÉ","Que.","2,566","2,352","9.1","1,101","1,046","5.3","1,035","947","9.3","31.29","82.0","1,171","327"
"Vallée-Jonction 4","MÉ","Que.","1,864","1,875","-0.6","862","867","-0.6","830","834","-0.5","25.45","73.2","1,436","421"
"Prévost","V","Que.","13,692","13,002","5.3","5,722","5,413","5.7","5,532","5,181","6.8","34.29","399.3","321","84"
"Saint-Colomban","V","Que.","17,740","16,019","10.7","6,807","6,200","9.8","6,632","5,954","11.4","92.71","191.4","261","67"
"Saint-Hippolyte","MÉ","Que.","10,669","9,113","17.1","5,597","5,073","10.3","4,683","4,007","16.9","119.50","89.3","408","106"
"Saint-Jérôme","V","Que.","80,213","74,346","7.9","38,776","35,316","9.8","37,371","33,642","11.1","90.18","889.5","73","14"
"Sainte-Sophie","MÉ","Que.","18,080","15,690","15.2","7,490","6,578","13.9","7,211","6,225","15.8","111.20","162.6","253","65"
"Communauté de Wemotaci","IRI","Que.","1,142","1,213","-5.9","359","305","17.7","289","293","-1.4","31.55","36.2","1,955","601"
"La Bostonnais","MÉ","Que.","556","635","-12.4","374","417","-10.3","268","272","-1.5","284.32","2.0","2,805","883"
"La Tuque","V","Que.","11,129","11,001","1.2","6,930","6,919","0.2","5,543","5,306","4.5","24,809.40","0.4","388","102"
"Lac-Édouard","MÉ","Que.","220","191","15.2","298","300","-0.7","118","93","26.9","898.32","0.2","3,784","1,106"
"Obedjiwan 28","IRI","Que.","1,991","2,019","-1.4","433","419","3.3","425","413","2.9","8.26","241.1","1,385","407"
"Belcourt","MÉ","Que.","219","225","-2.7","120","116","3.4","114","112","1.8","409.74","0.5","3,791","1,107"
"Kitcisakik","S-É","Que.","257","274","-6.2","93","105","-11.4","80","82","-2.4","1.51","170.2","3,649","1,085"
"Lac Simon","IRI","Que.","1,285","1,380","-6.9","343","322","6.5","342","312","9.6","3.14","409.2","1,823","565"
"Lac-Granet","NO","Que.","0","0","...","0","0","...","0","0","...","217.77","0.0","4,831","1,194"
"Lac-Metei","NO","Que.","0","0","...","0","0","...","0","0","...","72.12","0.0","4,831","1,194"
"Malartic","V","Que.","3,355","3,377","-0.7","1,635","1,615","1.2","1,481","1,473","0.5","147.45","22.8","958","248"
"Matchi-Manitou","NO","Que.","0","0","...","0","0","...","0","0","...","164.77","0.0","4,831","1,194"
"Rivière-Héva","MÉ","Que.","1,495","1,419","5.4","729","702","3.8","649","604","7.5","423.27","3.5","1,668","504"
"Réservoir-Dozois","NO","Que.","0","0","...","0","1","-100.0","0","1","-100.0","3,832.68","0.0","4,831","1,194"
"Senneterre","V","Que.","2,782","2,868","-3.0","1,534","1,448","5.9","1,390","1,352","2.8","14,718.51","0.2","1,101","296"
"Senneterre","PE","Que.","1,202","1,192","0.8","606","563","7.6","559","539","3.7","567.05","2.1","1,893","578"
"Val-d'Or","V","Que.","32,752","32,491","0.8","15,884","15,352","3.5","15,033","14,565","3.2","3,536.84","9.3","148","35"
"Aumond","CT","Que.","754","754","0.0","623","601","3.7","355","341","4.1","212.82","3.5","2,434","780"
"Blue Sea","MÉ","Que.","696","639","8.9","639","799","-20.0","358","318","12.6","72.97","9.5","2,533","805"
"Bois-Franc","MÉ","Que.","411","421","-2.4","215","212","1.4","192","188","2.1","71.56","5.7","3,145","984"
"Bouchette","MÉ","Que.","695","731","-4.9","629","701","-10.3","347","329","5.5","122.09","5.7","2,534","806"
"Cascades-Malignes","NO","Que.","0","0","...","0","0","...","0","0","...","480.88","0.0","4,831","1,194"
"Cayamant","MÉ","Que.","895","821","9.0","1,036","1,073","-3.4","460","405","13.6","382.49","2.3","2,251","711"
"Denholm","MÉ","Que.","546","505","8.1","561","556","0.9","274","224","22.3","177.33","3.1","2,826","890"
"Déléage","MÉ","Que.","1,916","1,852","3.5","1,021","984","3.8","872","849","2.7","248.26","7.7","1,417","415"
"Dépôt-Échouani","NO","Que.","0","0","...","0","0","...","0","0","...","308.12","0.0","4,831","1,194"
"Egan-Sud","MÉ","Que.","508","504","0.8","258","245","5.3","235","227","3.5","49.82","10.2","2,920","920"
"Gracefield","V","Que.","2,376","2,462","-3.5","1,880","2,069","-9.1","1,131","1,126","0.4","380.94","6.2","1,235","348"
"Grand-Remous","MÉ","Que.","1,159","1,161","-0.2","778","754","3.2","563","538","4.6","351.63","3.3","1,938","595"
"Kazabazua","MÉ","Que.","1,037","945","9.7","832","825","0.8","484","422","14.7","172.91","6.0","2,068","646"
"Kitigan Zibi 4","IRI","Que.","1,204","1,231","-2.2","633","575","10.1","581","507","14.6","195.06","6.2","1,889","577"
"Lac-Lenôtre","NO","Que.","0","0","...","0","0","...","0","0","...","1,934.31","0.0","4,831","1,194"
"Lac-Moselle","NO","Que.","0","0","...","0","0","...","0","0","...","1,144.81","0.0","4,831","1,194"
"Lac-Pythonga","NO","Que.","0","0","...","0","1","-100.0","0","0","...","5,061.54","0.0","4,831","1,194"
"Lac-Rapide 6","IRI","Que.","..","..","..","..","..","..","..","..","..","0.36","..","..",".."
"Lac-Sainte-Marie","MÉ","Que.","677","566","19.6","930","997","-6.7","374","287","30.3","205.71","3.3","2,569","818"
"Low","CT","Que.","1,020","982","3.9","864","961","-10.1","495","462","7.1","257.78","4.0","2,088","656"
"Maniwaki 4","V","Que.","3,757","3,843","-2.2","2,110","2,057","2.6","1,881","1,912","-1.6","5.67","662.8","902","230"
"Messines","MÉ","Que.","1,655","1,609","2.9","1,047","1,057","-0.9","787","721","9.2","110.11","15.0","1,563","475"
"Montcerf-Lytton","MÉ","Que.","653","636","2.7","387","333","16.2","306","287","6.6","354.64","1.8","2,611","834"
"Sainte-Thérèse-de-la-Gatineau","MÉ","Que.","588","520","13.1","534","563","-5.2","288","249","15.7","60.68","9.7","2,734","867"
"Beloeil","V","Que.","24,104","22,458","7.3","10,338","9,273","11.5","10,140","9,098","11.5","24.38","988.8","183","47"
"Carignan","V","Que.","11,740","9,462","24.1","4,375","3,572","22.5","4,274","3,413","25.2","62.07","189.1","367","92"
"Chambly","V","Que.","31,444","29,120","8.0","12,609","11,546","9.2","12,405","11,246","10.3","25.08","1,253.7","153","36"
"McMasterville","MÉ","Que.","5,936","5,698","4.2","2,459","2,332","5.4","2,408","2,285","5.4","3.12","1,904.0","656","166"
"Mont-Saint-Hilaire","V","Que.","18,859","18,585","1.5","7,917","7,702","2.8","7,766","7,499","3.6","44.08","427.8","244","64"
"Otterburn Park","V","Que.","8,479","8,421","0.7","3,381","3,301","2.4","3,335","3,255","2.5","5.37","1,578.2","486","122"
"Saint-Antoine-sur-Richelieu","MÉ","Que.","1,738","1,694","2.6","752","739","1.8","729","715","2.0","65.67","26.5","1,520","453"
"Saint-Basile-le-Grand","V","Que.","17,053","17,059","0.0","6,635","6,447","2.9","6,561","6,391","2.7","35.84","475.8","269","69"
"Saint-Charles-sur-Richelieu","MÉ","Que.","1,735","1,717","1.0","794","759","4.6","761","719","5.8","64.91","26.7","1,522","455"
"Saint-Denis-sur-Richelieu","MÉ","Que.","2,339","2,308","1.3","1,045","1,043","0.2","1,011","981","3.1","84.64","27.6","1,248","354"
"Saint-Jean-Baptiste","MÉ","Que.","3,179","3,107","2.3","1,386","1,365","1.5","1,346","1,315","2.4","72.36","43.9","1,003","260"
"Saint-Marc-sur-Richelieu","MÉ","Que.","2,245","2,172","3.4","908","895","1.5","880","859","2.4","60.92","36.9","1,283","373"
"Saint-Mathieu-de-Beloeil","MÉ","Que.","2,952","2,619","12.7","1,197","997","20.1","1,169","972","20.3","39.39","74.9","1,059","279"
"Alma 4","V","Que.","30,331","30,771","-1.4","14,493","14,310","1.3","13,815","13,652","1.2","194.92","155.6","156","37"
"Belle-Rivière 3","NO","Que.","10","0","...","18","0","...","4","0","...","608.47","0.0","4,722","1,179"
"Desbiens","V","Que.","995","1,028","-3.2","523","498","5.0","475","472","0.6","10.39","95.7","2,114","662"
"Hébertville 3","MÉ","Que.","2,500","2,542","-1.7","1,245","1,273","-2.2","1,078","1,076","0.2","260.74","9.6","1,192","335"
"Hébertville-Station","VL","Que.","1,229","1,311","-6.3","558","551","1.3","546","546","0.0","31.50","39.0","1,870","573"
"L'Ascension-de-Notre-Seigneur","PE","Que.","2,079","1,987","4.6","985","979","0.6","855","809","5.7","130.84","15.9","1,351","394"
"Labrecque","MÉ","Que.","1,328","1,321","0.5","766","754","1.6","575","539","6.7","152.67","8.7","1,790","552"
"Lac-Achouakan","NO","Que.","0","0","...","0","0","...","0","0","...","225.49","0.0","4,831","1,194"
"Lac-Moncouche","NO","Que.","0","0","...","0","0","...","0","0","...","262.78","0.0","4,831","1,194"
"Lamarche","MÉ","Que.","476","514","-7.4","396","415","-4.6","255","231","10.4","81.45","5.8","2,994","942"
"Mont-Apica","NO","Que.","0","0","...","0","0","...","0","0","...","13.02","0.0","4,831","1,194"
"Métabetchouan--Lac-à-la-Croix","V","Que.","4,121","3,985","3.4","2,075","2,083","-0.4","1,806","1,734","4.2","187.49","22.0","839","210"
"Saint-Bruno","MÉ","Que.","2,902","2,801","3.6","1,269","1,184","7.2","1,226","1,148","6.8","77.86","37.3","1,065","282"
"Saint-Gédéon","MÉ","Que.","2,177","2,085","4.4","1,219","1,228","-0.7","968","910","6.4","63.38","34.3","1,310","380"
"Saint-Henri-de-Taillon 4","MÉ","Que.","803","826","-2.8","504","478","5.4","362","298","21.5","61.74","13.0","2,367","754"
"Saint-Ludger-de-Milot","MÉ","Que.","637","651","-2.2","401","404","-0.7","318","319","-0.3","107.46","5.9","2,651","844"
"Saint-Nazaire","MÉ","Que.","2,029","2,073","-2.1","869","843","3.1","835","813","2.7","144.76","14.0","1,370","400"
"Sainte-Monique","MÉ","Que.","858","846","1.4","443","450","-1.6","379","362","4.7","152.53","5.6","2,294","726"
"Laval","V","Que.","438,366","422,993","3.6","176,115","165,686","6.3","169,785","160,328","5.9","246.13","1,781.0","14","3"
"Chambord","MÉ","Que.","1,748","1,765","-1.0","1,186","1,113","6.6","849","770","10.3","120.85","14.5","1,512","448"
"La Doré","PE","Que.","1,359","1,365","-0.4","654","669","-2.2","610","605","0.8","288.55","4.7","1,768","542"
"Lac-Ashuapmushuan","NO","Que.","140","36","288.9","571","624","-8.5","96","7","1,271.4","14,684.28","0.0","4,098","1,144"
"Lac-Bouchette","MÉ","Que.","1,183","1,196","-1.1","956","926","3.2","641","591","8.5","904.26","1.3","1,916","586"
"Mashteuiatsh","IRI","Que.","2,010","1,957","2.7","1,095","1,022","7.1","808","746","8.3","14.43","139.3","1,377","403"
"Roberval","V","Que.","9,840","10,046","-2.1","4,838","4,802","0.7","4,520","4,498","0.5","151.36","65.0","435","111"
"Saint-André-du-Lac-Saint-Jean","VL","Que.","453","467","-3.0","231","217","6.5","208","193","7.8","145.43","3.1","3,039","955"
"Saint-François-de-Sales","MÉ","Que.","643","616","4.4","423","429","-1.4","295","280","5.4","197.20","3.3","2,638","838"
"Saint-Félicien","V","Que.","10,089","10,238","-1.5","5,169","5,022","2.9","4,686","4,533","3.4","361.27","27.9","425","110"
"Saint-Prime","MÉ","Que.","2,760","2,753","0.3","1,304","1,252","4.2","1,178","1,137","3.6","147.16","18.8","1,106","299"
"Sainte-Hedwidge","MÉ","Que.","870","846","2.8","494","473","4.4","390","369","5.7","461.67","1.9","2,279","721"
"Audet","MÉ","Que.","708","734","-3.5","317","303","4.6","284","291","-2.4","134.95","5.2","2,504","796"
"Courcelles","MÉ","Que.","814","823","-1.1","430","434","-0.9","391","382","2.4","90.34","9.0","2,347","748"
"Frontenac","MÉ","Que.","1,811","1,734","4.4","922","870","6.0","769","719","7.0","223.60","8.1","1,470","434"
"Lac-Drolet","MÉ","Que.","1,067","1,021","4.5","600","618","-2.9","492","470","4.7","124.30","8.6","2,032","633"
"Lac-Mégantic","V","Que.","5,747","5,654","1.6","3,143","2,870","9.5","2,938","2,692","9.1","21.98","261.5","672","171"
"Lambton","MÉ","Que.","1,630","1,617","0.8","1,143","1,200","-4.8","755","699","8.0","108.45","15.0","1,579","479"
"Marston","CT","Que.","777","705","10.2","419","401","4.5","341","294","16.0","71.83","10.8","2,400","769"
"Milan","MÉ","Que.","318","299","6.4","212","228","-7.0","156","149","4.7","129.44","2.5","3,450","1,049"
"Nantes","MÉ","Que.","1,388","1,377","0.8","668","696","-4.0","609","596","2.2","119.16","11.6","1,750","532"
"Notre-Dame-des-Bois","MÉ","Que.","1,028","938","9.6","817","906","-9.8","470","405","16.0","192.51","5.3","2,079","651"
"Piopolis","MÉ","Que.","398","358","11.2","315","304","3.6","208","179","16.2","103.38","3.8","3,184","991"
"Saint-Augustin-de-Woburn","PE","Que.","667","692","-3.6","354","344","2.9","309","305","1.3","281.07","2.4","2,594","826"
"Saint-Ludger","MÉ","Que.","1,074","1,071","0.3","507","529","-4.2","449","460","-2.4","127.58","8.4","2,027","632"
"Saint-Robert-Bellarmin","MÉ","Que.","529","575","-8.0","237","231","2.6","224","223","0.4","236.33","2.2","2,874","903"
"Saint-Romain","MÉ","Que.","711","691","2.9","425","405","4.9","328","302","8.6","112.12","6.3","2,498","793"
"Saint-Sébastien","MÉ","Que.","674","657","2.6","329","343","-4.1","301","292","3.1","91.95","7.3","2,577","822"
"Sainte-Cécile-de-Whitton","MÉ","Que.","853","863","-1.2","491","513","-4.3","359","347","3.5","146.46","5.8","2,302","730"
"Stornoway","MÉ","Que.","535","530","0.9","272","262","3.8","247","227","8.8","180.15","3.0","2,859","901"
"Stratford","CT","Que.","1,036","945","9.6","946","895","5.7","533","453","17.7","119.86","8.6","2,069","647"
"Val-Racine","MÉ","Que.","183","178","2.8","132","126","4.8","91","74","23.0","116.06","1.6","3,917","1,123"
"Henryville","MÉ","Que.","1,497","1,406","6.5","702","697","0.7","612","606","1.0","64.82","23.1","1,665","503"
"Lacolle","MÉ","Que.","2,708","2,596","4.3","1,278","1,189","7.5","1,188","1,117","6.4","49.41","54.8","1,128","309"
"Mont-Saint-Grégoire","MÉ","Que.","3,136","3,077","1.9","1,226","1,192","2.9","1,187","1,154","2.9","79.83","39.3","1,009","262"
"Noyan","MÉ","Que.","1,418","1,392","1.9","823","795","3.5","645","597","8.0","44.28","32.0","1,727","523"
"Saint-Alexandre","MÉ","Que.","2,678","2,469","8.5","1,028","932","10.3","1,003","911","10.1","76.27","35.1","1,133","312"
"Saint-Blaise-sur-Richelieu","MÉ","Que.","2,092","2,066","1.3","905","872","3.8","854","822","3.9","69.54","30.1","1,342","391"
"Saint-Georges-de-Clarenceville","MÉ","Que.","1,154","1,103","4.6","732","738","-0.8","538","507","6.1","63.06","18.3","1,941","597"
"Saint-Jean-sur-Richelieu","V","Que.","97,873","95,114","2.9","44,255","42,036","5.3","42,913","40,843","5.1","226.93","431.3","62","11"
"Saint-Paul-de-l'Île-aux-Noix","MÉ","Que.","2,141","1,980","8.1","1,112","1,020","9.0","964","892","8.1","29.85","71.7","1,324","385"
"Saint-Sébastien","MÉ","Que.","692","718","-3.6","284","278","2.2","268","269","-0.4","63.29","10.9","2,537","807"
"Saint-Valentin","MÉ","Que.","418","447","-6.5","181","182","-0.5","164","170","-3.5","39.27","10.6","3,122","979"
"Sainte-Anne-de-Sabrevois","PE","Que.","2,143","2,039","5.1","932","885","5.3","881","837","5.3","44.65","48.0","1,323","384"
"Sainte-Brigide-d'Iberville","MÉ","Que.","1,428","1,402","1.9","577","546","5.7","566","530","6.8","70.52","20.3","1,712","520"
"Venise-en-Québec","MÉ","Que.","1,899","1,634","16.2","1,173","1,099","6.7","940","806","16.6","13.13","144.7","1,421","416"
"Ascot Corner","MÉ","Que.","3,368","3,158","6.6","1,364","1,235","10.4","1,310","1,201","9.1","81.64","41.3","955","245"
"Bury","MÉ","Que.","1,252","1,174","6.6","607","613","-1.0","519","497","4.4","234.13","5.3","1,844","567"
"Chartierville","MÉ","Que.","319","276","15.6","231","222","4.1","167","156","7.1","141.94","2.2","3,448","1,048"
"Cookshire-Eaton","V","Que.","5,344","5,393","-0.9","2,283","2,275","0.4","2,190","2,167","1.1","296.25","18.0","700","178"
"Dudswell","MÉ","Que.","1,755","1,727","1.6","1,062","1,119","-5.1","801","792","1.1","218.01","8.0","1,509","447"
"East Angus","V","Que.","3,840","3,659","4.9","1,718","1,644","4.5","1,653","1,599","3.4","7.84","489.8","888","224"
"Hampden","CT","Que.","193","176","9.7","114","104","9.6","87","81","7.4","111.68","1.7","3,885","1,118"
"La Patrie","MÉ","Que.","805","768","4.8","425","433","-1.8","362","357","1.4","204.61","3.9","2,362","752"
"Lingwick","CT","Que.","456","428","6.5","334","344","-2.9","222","205","8.3","243.01","1.9","3,031","952"
"Newport","MÉ","Que.","698","733","-4.8","401","382","5.0","316","319","-0.9","270.63","2.6","2,530","804"
"Saint-Isidore-de-Clifton","MÉ","Que.","673","695","-3.2","353","371","-4.9","316","316","0.0","176.94","3.8","2,581","824"
